state,district,scenario,year,overall_risk_score,overall_risk_class,climate_confidence_score,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,annual_rainfall_change_pct,temperature_anomaly,soil_moisture_deficit,water_security_index,heat_stress_days_35,cdd,cwd,extreme_rainfall_change_pct
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,2030,23.4,Low Risk,,16.65,Low,50.21,High,0.0,Low,1.0695,6.94,0.5243652125199845,0.0,53.47,124.8,58.11947573491578,12.273533741830416,6.94
TELANGANA,MULUGU,ssp585,2030,11.65,Low Risk,,33.17,Moderate,0.11,Low,0.0,Low,1.0247,3.73,0.5426913128958859,0.0,51.24,121.3,57.74335149176395,16.943630240413857,3.73
TELANGANA,NAGARKURNOOL,ssp585,2030,14.39,Low Risk,,3.2,Low,13.85,Low,28.07,Moderate,1.0244,1.29,0.5470164775848503,0.002991698019975658,49.47,133.1,67.1320798065352,15.613371651290997,1.29
TELANGANA,NALGONDA,ssp585,2030,3.21,Low Risk,,6.05,Low,3.12,Low,0.0,Low,1.0596,5.23,0.5473814831839825,0.0,52.98,172.6,69.01940850326457,17.85869272913494,5.23
TELANGANA,NARAYANPET,ssp585,2030,19.37,Low Risk,,0.98,Low,54.37,High,0.0,Low,1.0258,2.07,0.5072093698713573,0.0,51.29,126.9,73.67017985125563,13.332103840470337,2.07
TELANGANA,NIRMAL,ssp585,2030,24.58,Low Risk,,19.62,Low,50.61,High,0.0,Low,1.0959,11.1,,0.0,54.8,33.3,59.612216098543826,16.444912720046265,11.1
TELANGANA,NIZAMABAD,ssp585,2030,16.84,Low Risk,,15.82,Low,32.3,Moderate,0.0,Low,1.1072,12.03,0.5325368338161127,0.0,55.36,115.4,58.286593333847584,17.270289536384823,12.03
TELANGANA,PEDDAPALLI,ssp585,2030,9.97,Low Risk,,28.02,Moderate,0.47,Low,0.0,Low,1.0663,7.29,0.4886242177751498,0.0,53.32,135.0,59.09043705635137,14.153286508227552,7.29
TELANGANA,RAJANNA SIRCILLA,ssp585,2030,5.73,Low Risk,,16.38,Low,0.0,Low,0.0,Low,1.1186,11.25,,0.0,55.93,33.3,53.65967008688832,13.128982296650442,11.25
TELANGANA,RANGA REDDY,ssp585,2030,17.35,Low Risk,,6.99,Low,42.58,Moderate,0.0,Low,1.0481,4.2,0.5243652125199845,0.0,52.4,124.8,67.99965066403423,16.11319114076013,4.2
TELANGANA,SANGAREDDY,ssp585,2030,23.76,Low Risk,,16.4,Low,51.49,High,0.0,Low,1.0796,8.14,0.53414923879837,0.0,53.98,113.7,62.90853051745841,17.6583470733741,8.14
TELANGANA,SIDDIPET,ssp585,2030,5.02,Low Risk,,14.14,Low,0.21,Low,0.0,Low,1.1098,8.84,,0.0,55.49,33.3,58.137334586716825,13.31401502651934,8.84
TELANGANA,SURYAPET,ssp585,2030,2.93,Low Risk,,5.31,Low,3.06,Low,0.0,Low,1.0798,6.9,0.5101129571596907,0.0,53.99,154.0,68.78848156683709,15.4624586266387,6.9
TELANGANA,VIKARABAD,ssp585,2030,21.33,Low Risk,,7.49,Low,53.44,High,0.0,Low,1.0421,4.26,0.53414923879837,0.0,52.1,113.7,70.19660693604666,14.3065689303108,4.26
TELANGANA,WANAPARTHY,ssp585,2030,15.95,Low Risk,,1.15,Low,44.43,Moderate,0.0,Low,1.0114,-0.14,,0.0,50.57,33.3,68.461186168186,12.998055293817869,-0.14
TELANGANA,WARANGAL,ssp585,2030,5.77,Low Risk,,15.34,Low,1.14,Low,0.0,Low,1.066,6.82,,0.0,53.3,33.3,61.58905227781539,12.136980834705435,6.82
TELANGANA,YADADRI BHUVANAGIRI,ssp585,2030,4.82,Low Risk,,11.93,Low,1.84,Low,0.0,Low,1.0837,7.36,,0.0,54.18,33.3,64.21170539304552,14.747329396843803,7.36
BIHAR,ARARIA,ssp585,2035,48.04,Moderate Risk,,47.87,Moderate,29.5,Moderate,69.86,High,1.05045,8.59,1.2681666923894,0.007445148602822243,48.85,9.8,63.177089115804904,32.39622305392205,8.59
BIHAR,ARWAL,ssp585,2035,22.67,Low Risk,,24.59,Low,14.56,Low,29.88,Moderate,1.0146,3.13,,0.003184463445307336,48.7,33.3,67.10596287687349,23.746963827668186,3.13
BIHAR,AURANGABAD,ssp585,2035,35.93,Moderate Risk,,29.73,Moderate,24.53,Low,56.45,High,0.9978,1.55,1.0569482326507682,0.0060160422297511765,46.12,55.2,64.63187140363249,30.056832346903114,1.55
BIHAR,BANKA,ssp585,2035,43.13,Moderate Risk,,24.94,Low,33.69,Moderate,75.37,Severe,1.0140500000000001,4.27,,0.00803284945130092,46.1,33.3,70.5715150899434,14.300809567186002,4.27
BIHAR,BEGUSARAI,ssp585,2035,7.79,Low Risk,,20.06,Low,2.19,Low,0.0,Low,1.048,7.16,1.2167446527216264,0.0,52.4,74.4,65.53037577661496,18.80099305864941,7.16
BIHAR,BHAGALPUR,ssp585,2035,31.92,Moderate Risk,,27.55,Moderate,21.33,Low,49.37,Moderate,1.0324499999999999,5.38,1.3068997244040297,0.00526217593112339,48.63,77.3,63.24708333039595,20.950574480402462,5.38
BIHAR,BHOJPUR,ssp585,2035,31.82,Moderate Risk,,14.03,Low,27.72,Moderate,57.35,High,1.0152,2.82,1.0460068563620375,0.0061116687266985,46.68,57.5,75.22671739579269,17.506146564115344,2.82
BIHAR,BUXAR,ssp585,2035,35.18,Moderate Risk,,15.24,Low,29.6,Moderate,64.95,High,1.00315,1.58,,0.006922009173732461,45.7,33.3,70.89306773322296,21.97716477669526,1.58
BIHAR,DARBHANGA,ssp585,2035,30.92,Moderate Risk,,26.77,Moderate,22.73,Low,45.31,Moderate,1.0384,7.39,,0.0048289457549076185,48.97,33.3,74.56260730972923,18.781304746779902,7.39
BIHAR,GAYA,ssp585,2035,37.54,Moderate Risk,,20.49,Low,28.55,Moderate,67.91,High,1.0131999999999999,3.14,1.0569482326507682,0.0072374323047783495,46.03,55.2,62.51790445358952,20.674744956884624,3.14
BIHAR,GOPALGANJ,ssp585,2035,34.5,Moderate Risk,,22.67,Low,27.04,Moderate,57.02,High,1.0152,2.85,1.082389730215084,0.0060767315511168355,46.77,55.25,73.17830645090118,14.360056514403263,2.85
BIHAR,JAMUI,ssp585,2035,34.6,Moderate Risk,,23.24,Low,24.82,Low,59.28,High,1.0192,4.73,1.2089224470986224,0.006318015890374352,46.95,79.30000000000001,61.48010035369178,13.941304776344367,4.73
BIHAR,JEHANABAD,ssp585,2035,20.31,Low Risk,,19.23,Low,13.59,Low,29.42,Moderate,1.0263,4.42,,0.0031356267115898555,49.21,33.3,64.16407079184518,15.416337338119579,4.42
BIHAR,KAIMUR (BHABUA),ssp585,2035,25.22,Moderate Risk,,26.05,Moderate,16.34,Low,34.61,Moderate,0.9927,0.64,,0.0036884591174491323,47.1,33.3,66.68979458338367,28.216015096698605,0.64
BIHAR,KATIHAR,ssp585,2035,35.97,Moderate Risk,,28.63,Moderate,24.38,Low,58.06,High,1.0195500000000002,4.31,1.3068997244040297,0.006187417487499777,47.68,77.3,61.67398386025149,20.881978895807972,4.31
BIHAR,KHAGARIA,ssp585,2035,36.89,Moderate Risk,,28.38,Moderate,25.92,Moderate,59.61,High,1.03905,6.83,1.2167446527216264,0.0063531970227657915,48.24,74.4,65.12265763496444,19.359155758039357,6.83
